[2026-03-06T05:46:00.393527][INFO] 配置已更新: console_log=error retry_mode=polling
[2026-03-06T05:57:46.607242][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 170ms
[2026-03-06T05:57:46.609047][DEBUG] ✓ UDP://tracker.srv00.com:6969 (91.186.213.204) 298ms
[2026-03-06T05:57:46.609444][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 170ms
[2026-03-06T05:57:46.609844][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 299ms
[2026-03-06T05:57:46.611032][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 171ms
[2026-03-06T05:57:46.639602][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 329ms
[2026-03-06T05:57:46.689365][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 381ms
[2026-03-06T05:57:46.691785][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 416ms
[2026-03-06T05:57:46.694563][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 391ms
[2026-03-06T05:57:56.465533][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 180ms
[2026-03-06T05:57:56.488791][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 188ms
[2026-03-06T05:57:56.545470][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 261ms
[2026-03-06T05:58:06.315705][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 0ms
[2026-03-06T05:58:06.472596][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 172ms
[2026-03-06T05:58:06.494553][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 176ms
[2026-03-06T05:58:06.549529][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 232ms
[2026-03-06T05:58:06.572917][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 241ms
[2026-03-06T05:58:06.606315][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 285ms
[2026-03-06T05:58:11.319041][ERROR] ✗ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 离线 | 超时(>5s)
[2026-03-06T05:58:21.360961][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 43ms
[2026-03-06T05:58:21.508989][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 191ms
[2026-03-06T05:58:21.553583][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 237ms
[2026-03-06T05:58:21.558440][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 240ms
[2026-03-06T05:58:21.563642][INFO] 轮检完成 | 总:128 [v4:98 v6:30] | 在线:127 [v4:97 v6:30]
[2026-03-06T05:59:01.952377][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T05:59:01.989101][DEBUG] ✓ UDP://bt.rer.lol:6969 (2408:8248:412:cf90::1) 14ms
[2026-03-06T05:59:01.991844][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 34ms
[2026-03-06T05:59:02.032738][DEBUG] ✓ UDP://speedtest.iperson.xyz:6969 (240e:355:7f1f:d900:e2e1:a9ff:fe1a:1f93) 46ms
[2026-03-06T05:59:02.097798][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 146ms
[2026-03-06T05:59:02.118803][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 168ms
[2026-03-06T05:59:02.119383][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 168ms
[2026-03-06T05:59:02.119469][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 168ms
[2026-03-06T05:59:02.120303][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.161) 161ms
[2026-03-06T05:59:02.120169][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 161ms
[2026-03-06T05:59:02.120369][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 168ms
[2026-03-06T05:59:02.121307][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.40) 159ms
[2026-03-06T05:59:02.121764][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 171ms
[2026-03-06T05:59:02.122156][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.224) 159ms
[2026-03-06T05:59:02.122204][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 171ms
[2026-03-06T05:59:02.122826][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 169ms
[2026-03-06T05:59:02.123249][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 164ms
[2026-03-06T05:59:02.123654][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.166) 161ms
[2026-03-06T05:59:02.124533][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 174ms
[2026-03-06T05:59:02.125174][DEBUG] ✓ UDP://tracker.fnix.net:6969 (5.255.124.190) 174ms
[2026-03-06T05:59:02.125857][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 175ms
[2026-03-06T05:59:02.126269][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 169ms
[2026-03-06T05:59:02.126366][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.212) 165ms
[2026-03-06T05:59:02.127106][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 168ms
[2026-03-06T05:59:02.127178][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.137) 167ms
[2026-03-06T05:59:02.127842][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 176ms
[2026-03-06T05:59:02.127881][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 170ms
[2026-03-06T05:59:02.128200][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T05:59:02.128595][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.25) 168ms
[2026-03-06T05:59:02.128920][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 178ms
[2026-03-06T05:59:02.128969][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.177) 166ms
[2026-03-06T05:59:02.128999][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 178ms
[2026-03-06T05:59:02.129371][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 172ms
[2026-03-06T05:59:02.129428][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.79) 168ms
[2026-03-06T05:59:02.130237][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 172ms
[2026-03-06T05:59:02.130294][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.95.106) 168ms
[2026-03-06T05:59:02.130842][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::ac43:b584) 165ms
[2026-03-06T05:59:02.130895][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.243) 169ms
[2026-03-06T05:59:02.130935][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 172ms
[2026-03-06T05:59:02.130969][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.72) 168ms
[2026-03-06T05:59:02.131010][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.230) 171ms
[2026-03-06T05:59:02.131042][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.104) 169ms
[2026-03-06T05:59:02.131587][DEBUG] ✓ TCP://tracker.mywaifu.best:6969 (95.217.167.10) 179ms
[2026-03-06T05:59:02.131645][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 178ms
[2026-03-06T05:59:02.133700][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.53) 170ms
[2026-03-06T05:59:02.133749][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 173ms
[2026-03-06T05:59:02.133789][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.38) 171ms
[2026-03-06T05:59:02.133820][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 176ms
[2026-03-06T05:59:02.133853][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.22) 173ms
[2026-03-06T05:59:02.133885][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 168ms
[2026-03-06T05:59:02.133925][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (104.21.18.88) 168ms
[2026-03-06T05:59:02.133957][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 180ms
[2026-03-06T05:59:02.133988][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 175ms
[2026-03-06T05:59:02.134021][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.237) 172ms
[2026-03-06T05:59:02.136610][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.30) 173ms
[2026-03-06T05:59:02.136555][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 181ms
[2026-03-06T05:59:02.136898][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.240) 176ms
[2026-03-06T05:59:02.136953][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.195) 176ms
[2026-03-06T05:59:02.136988][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.29) 177ms
[2026-03-06T05:59:02.137288][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.23) 174ms
[2026-03-06T05:59:02.137338][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.85) 175ms
[2026-03-06T05:59:02.137443][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 179ms
[2026-03-06T05:59:02.138210][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 178ms
[2026-03-06T05:59:02.138256][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.52) 181ms
[2026-03-06T05:59:02.138291][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 179ms
[2026-03-06T05:59:02.139243][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.72) 177ms
[2026-03-06T05:59:02.140135][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.4) 177ms
[2026-03-06T05:59:02.140178][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.39) 177ms
[2026-03-06T05:59:02.140500][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 185ms
[2026-03-06T05:59:02.141025][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.121) 183ms
[2026-03-06T05:59:02.141729][DEBUG] ✓ UDP://tracker.fnix.net:6969 (2a04:52c0:129:4157::a80) 190ms
[2026-03-06T05:59:02.142181][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 178ms
[2026-03-06T05:59:02.142508][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.95.29) 180ms
[2026-03-06T05:59:02.142556][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 186ms
[2026-03-06T05:59:02.143132][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.91) 184ms
[2026-03-06T05:59:02.147620][DEBUG] ✓ UDP://tracker.1h.is:1337 (107.189.4.235) 177ms
[2026-03-06T05:59:02.153941][DEBUG] ✓ UDP://tracker.therarbg.to:6969 (84.54.51.78) 182ms
[2026-03-06T05:59:02.158561][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (209.141.59.25) 196ms
[2026-03-06T05:59:02.164233][DEBUG] ✓ TCP://lucke.fenesisu.moe:6969 (207.211.184.229) 208ms
[2026-03-06T05:59:02.169264][DEBUG] ✓ UDP://tracker.t-1.org:6969 (107.189.7.165) 203ms
[2026-03-06T05:59:02.169625][DEBUG] ✓ UDP://uabits.today:6990 (163.5.63.253) 184ms
[2026-03-06T05:59:02.170579][DEBUG] ✓ UDP://open.dstud.io:6969 (212.8.249.30) 185ms
[2026-03-06T05:59:02.176898][DEBUG] ✓ UDP://tracker.gmi.gd:6969 (2605:6400:20:6c::) 213ms
[2026-03-06T05:59:02.182615][DEBUG] ✓ UDP://176.123.1.180:6969 (176.123.1.180) 224ms
[2026-03-06T05:59:02.186072][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (107.189.2.131) 207ms
[2026-03-06T05:59:02.198929][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 245ms
[2026-03-06T05:59:02.202227][DEBUG] ✓ UDP://tracker.opentorrent.top:6969 (81.230.84.201) 230ms
[2026-03-06T05:59:02.212444][DEBUG] ✓ UDP://torrentvpn.club:6990 (31.57.241.202) 226ms
[2026-03-06T05:59:02.222247][DEBUG] ✓ UDP://51.81.222.188:6969 (51.81.222.188) 264ms
[2026-03-06T05:59:02.227122][DEBUG] ✓ UDP://2001:41d0:2:52b1::1:6969 (2001:41d0:2:52b1::1) 264ms
[2026-03-06T05:59:02.232403][DEBUG] ✓ UDP://ns575949.ip-51-222-82.net:6969 (51.222.82.36) 261ms
[2026-03-06T05:59:02.232752][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (173.201.36.219) 239ms
[2026-03-06T05:59:02.233075][DEBUG] ✓ TCP://sukebei.tracker.wf:8888 (195.16.73.66) 284ms
[2026-03-06T05:59:02.238771][DEBUG] ✓ UDP://retracker.lanta.me:2710 (37.235.176.37) 280ms
[2026-03-06T05:59:02.239589][DEBUG] ✓ UDP://tracker.qu.ax:6969 (2406:4fc0:1002::137) 261ms
[2026-03-06T05:59:02.241935][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (2602:f93b:131:a:be24:11ff:fe79:fff7) 263ms
[2026-03-06T05:59:02.242442][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (2a03:7220:8083:cd00::1) 290ms
[2026-03-06T05:59:02.242835][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (2a01:e0a:ebd:2640:ba27:ebff:fe2c:db88) 261ms
[2026-03-06T05:59:02.244402][DEBUG] ✓ UDP://bittorrent-tracker.e-n-c-r-y-p-t.net:1337 (2605:6400:30:fad6::dead:c0d3) 257ms
[2026-03-06T05:59:02.245187][DEBUG] ✓ UDP://tracker.t-1.org:6969 (2605:6400:30:f8f3:1f:b20a:a8c1:1337) 268ms
[2026-03-06T05:59:02.245529][DEBUG] ✓ UDP://2a03:94e0:ffff:185:243:218:0:213:80 (2a03:94e0:ffff:185:243:218:0:213) 274ms
[2026-03-06T05:59:02.253950][DEBUG] ✓ TCP://tracker.dhitechnical.com:6969 (140.235.237.23) 291ms
[2026-03-06T05:59:02.254398][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (2a00:16b0:242:25::14) 283ms
[2026-03-06T05:59:02.255076][DEBUG] ✓ UDP://evan.im:6969 (74.119.150.221) 276ms
[2026-03-06T05:59:02.256578][DEBUG] ✓ UDP://tracker.ixuexi.click:6969 (2a01:7a7:2:3ed6:225:90ff:fefb:3dfc) 262ms
[2026-03-06T05:59:02.258933][DEBUG] ✓ UDP://tracker.1h.is:1337 (2605:6400:30:f922:35d4:58f4:75eb:1337) 278ms
[2026-03-06T05:59:02.264142][DEBUG] ✓ UDP://d40969.acod.regrucolo.ru:6969 (176.99.7.59) 307ms
[2026-03-06T05:59:02.274557][DEBUG] ✓ UDP://tracker.bluefrog.pw:2710 (88.80.22.67) 304ms
[2026-03-06T05:59:02.280219][DEBUG] ✓ TCP://ttk2.nbaonlineservice.com:80 (54.39.48.3) 325ms
[2026-03-06T05:59:02.281936][DEBUG] ✓ UDP://www.torrent.eu.org:451 (2001:912:800:208::53) 325ms
[2026-03-06T05:59:02.282275][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (104.21.53.179) 160ms
[2026-03-06T05:59:02.292624][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.67.187.230) 167ms
[2026-03-06T05:59:02.294065][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.132.230) 169ms
[2026-03-06T05:59:02.294403][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (104.21.56.230) 170ms
[2026-03-06T05:59:02.295084][DEBUG] ✓ UDP://tracker.waaa.moe:6969 (216.144.239.90) 325ms
[2026-03-06T05:59:02.301009][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3034::ac43:d819) 178ms
[2026-03-06T05:59:02.301448][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (2606:4700:3035::6815:35b3) 178ms
[2026-03-06T05:59:02.303624][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3036::6815:3985) 177ms
[2026-03-06T05:59:02.303922][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (172.66.140.230) 180ms
[2026-03-06T05:59:02.310707][DEBUG] ✓ TCP://tracker.moeblog.cn:443 (2606:4700:3035::ac43:a410) 184ms
[2026-03-06T05:59:02.317132][DEBUG] ✓ TCP://tracker.iochimari.moe:443 (172.67.216.25) 195ms
[2026-03-06T05:59:02.326816][DEBUG] ✓ UDP://open.demonii.com:1337 (185.121.168.96) 204ms
[2026-03-06T05:59:02.379784][DEBUG] ✓ UDP://tracker.srv00.com:6969 (91.186.213.204) 255ms
[2026-03-06T05:59:02.386558][DEBUG] ✓ TCP://2c0f:f4c0::108:80 (2c0f:f4c0::108) 431ms
[2026-03-06T05:59:02.424864][DEBUG] ✓ UDP://44.30.4.70:6969 (44.30.4.70) 298ms
[2026-03-06T05:59:02.431999][DEBUG] ✓ UDP://open.demonii.com:1337 (2a06:1280:f115::2) 308ms
[2026-03-06T05:59:12.181241][DEBUG] ✓ UDP://tracker.opentrackr.org:1337 (93.158.213.92) 192ms
[2026-03-06T05:59:12.208062][DEBUG] ✓ UDP://tracker.playground.ru:6969 (212.42.38.197) 234ms
[2026-03-06T05:59:22.009762][DEBUG] ✓ UDP://tracker.iperson.xyz:6969 (120.78.150.131) 20ms
[2026-03-06T05:59:22.137569][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (89.234.156.205) 179ms
[2026-03-06T05:59:22.159966][DEBUG] ✓ UDP://tracker.xn--djrq4gl4hvoi.top:80 (154.201.75.73) 171ms
[2026-03-06T05:59:37.218670][DEBUG] ✓ UDP://bandito.byterunner.io:6969 (103.251.166.126) 168ms
[2026-03-06T05:59:37.228071][DEBUG] ✓ UDP://udp.tracker.projectk.org:23333 (23.175.184.30) 224ms
[2026-03-06T05:59:37.232305][DEBUG] ✓ UDP://tracker.riverarmy.xyz:6969 (18.232.197.8) 243ms
[2026-03-06T05:59:37.250620][DEBUG] ✓ UDP://tracker.breizh.pm:6969 (82.67.183.86) 261ms
[2026-03-06T05:59:37.877444][DEBUG] ✓ UDP://6ahddutb1ucc3cp.ru:6969 (185.189.13.108) 764ms
[2026-03-06T05:59:41.983697][ERROR] ✗ UDP://tracker.bittor.pw:1337 (34.66.57.33) 离线 | 超时(>5s)
[2026-03-06T06:00:07.237334][DEBUG] ✓ UDP://tracker.qu.ax:6969 (43.250.54.137) 248ms
[2026-03-06T06:00:07.244238][DEBUG] ✓ UDP://tracker.bittor.pw:1337 (2600:1900:4001:4b5:8000::) 270ms
[2026-03-06T06:00:07.245361][DEBUG] ✓ UDP://tracker.plx.im:6969 (54.36.179.216) 256ms
[2026-03-06T06:00:07.420253][DEBUG] ✓ UDP://tracker.srv00.com:6969 (147.45.77.75) 290ms
[2026-03-06T06:00:07.614388][DEBUG] ✓ UDP://t.overflow.biz:6969 (187.56.163.25) 484ms
[2026-03-06T06:00:07.617392][INFO] 轮检完成 | 总:142 [v4:112 v6:30] | 在线:141 [v4:111 v6:30]
[2026-03-06T06:00:37.640680][DEBUG] ✓ TCP://ipv6.rer.lol:6969 (2408:8248:481:5b:5d95:b88b:f1ea:c8e7) 0ms
[2026-03-06T06:00:37.683537][DEBUG] ✓ UDP://admin.52ywp.com:6969 (60.172.236.18) 35ms
[2026-03-06T06:00:37.805869][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.31) 166ms
[2026-03-06T06:00:37.806577][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.79) 160ms
[2026-03-06T06:00:37.807510][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.198) 160ms
[2026-03-06T06:00:37.808021][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.177) 157ms
[2026-03-06T06:00:37.808069][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.32) 170ms
[2026-03-06T06:00:37.808105][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.25.73.167) 162ms
[2026-03-06T06:00:37.807958][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.241) 160ms
[2026-03-06T06:00:37.809644][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.25) 160ms
[2026-03-06T06:00:37.809708][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3035::ac43:8d1a) 164ms
[2026-03-06T06:00:37.809769][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.212) 159ms
[2026-03-06T06:00:37.810220][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.79) 160ms
[2026-03-06T06:00:37.811532][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3032::6815:3ab0) 169ms
[2026-03-06T06:00:37.811011][DEBUG] ✓ TCP://tracker.renfei.net:8080 (172.67.162.102) 169ms
[2026-03-06T06:00:37.811599][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.25) 171ms
[2026-03-06T06:00:37.811654][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.27) 172ms
[2026-03-06T06:00:37.811720][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (104.18.19.205) 165ms
[2026-03-06T06:00:37.811767][DEBUG] ✓ TCP://207.241.226.111:6969 (207.241.226.111) 171ms
[2026-03-06T06:00:37.812139][DEBUG] ✓ TCP://tracker.renfei.net:8080 (104.21.58.176) 171ms
[2026-03-06T06:00:37.814268][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.137) 165ms
[2026-03-06T06:00:37.814383][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.55) 168ms
[2026-03-06T06:00:37.814425][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.155) 168ms
[2026-03-06T06:00:37.814497][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.93.3) 167ms
[2026-03-06T06:00:37.814326][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.171) 167ms
[2026-03-06T06:00:37.814191][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.22) 174ms
[2026-03-06T06:00:37.816426][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.165) 169ms
[2026-03-06T06:00:37.816502][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.237) 164ms
[2026-03-06T06:00:37.816552][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.26) 176ms
[2026-03-06T06:00:37.816638][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.166) 164ms
[2026-03-06T06:00:37.817064][DEBUG] ✓ TCP://tracker.renfei.net:8080 (2606:4700:3037::ac43:a266) 175ms
[2026-03-06T06:00:37.817896][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.29) 176ms
[2026-03-06T06:00:37.817939][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.28) 178ms
[2026-03-06T06:00:37.818246][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.38) 168ms
[2026-03-06T06:00:37.818296][DEBUG] ✓ TCP://ipv4.rer.lol:2710 (211.97.119.76) 0ms
[2026-03-06T06:00:37.818659][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.23) 178ms
[2026-03-06T06:00:37.819217][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.29) 170ms
[2026-03-06T06:00:37.819272][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.35) 172ms
[2026-03-06T06:00:37.819804][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.94.224) 168ms
[2026-03-06T06:00:37.820690][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (2606:4700:3034::6815:36ba) 175ms
[2026-03-06T06:00:37.820774][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.53) 169ms
[2026-03-06T06:00:37.820824][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.91.151) 173ms
[2026-03-06T06:00:37.821125][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (172.67.181.132) 167ms
[2026-03-06T06:00:37.821180][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.22) 173ms
[2026-03-06T06:00:37.821214][DEBUG] ✓ UDP://tracker.torrent.eu.org:451 (91.216.110.53) 178ms
[2026-03-06T06:00:37.821251][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.228.40) 171ms
[2026-03-06T06:00:37.821284][DEBUG] ✓ TCP://tracker.ghostchu-services.top:80 (2606:4700:3034::6815:1258) 168ms
[2026-03-06T06:00:37.821323][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.24) 181ms
[2026-03-06T06:00:37.821852][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.92.83) 174ms
[2026-03-06T06:00:37.822145][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.230.4) 171ms
[2026-03-06T06:00:37.822192][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.184.195) 172ms
[2026-03-06T06:00:37.823845][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.161) 174ms
[2026-03-06T06:00:37.824728][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.185.23) 173ms
[2026-03-06T06:00:37.824810][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.229.39) 172ms
[2026-03-06T06:00:37.824854][DEBUG] ✓ UDP://www.torrent.eu.org:451 (91.216.110.53) 181ms
[2026-03-06T06:00:37.824901][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (162.159.95.29) 173ms
[2026-03-06T06:00:37.825314][DEBUG] ✓ TCP://tracker1.itzmx.com:8080 (104.19.22.30) 185ms
[2026-03-06T06:00:37.825369][DEBUG] ✓ TCP://tracker.zhuqiy.com:443 (172.64.186.230) 177ms
